# YYYYMM,CRUISE_CODE,SITE_NAME,LAT,LON,DATE_TIME_XLS_LOCAL,DATE_TIME_XLS_UTC,YYYYMMDD_UTC,YYYY,MM,DD,DOY_UTC,TIME_DECIMAL_UTC,TIME_HH_DECMM_UTC,_SALINITY,TCHL_A,TSS,NAP,A_PHY_STAR_440NM,A_PHY_STAR_676NM,A_PHY_STAR_440NM_676NM,A_PHY_STAR_380NM_440NM,A_PHY_STAR_400NM_440NM,A_CDOM_SLOPE,A_CDOM_440NM,A_NAP_STAR_440NM,A_NAP_SLOPE,BB_NAP_STAR_555NM,BB_NAP_SLOPE,B_NAP_STAR_555NM,BB_B_RATIO,TSS_ORG,PHY_MICRO,PHY_NANO,PHY_PICO,PHY_SIZE_IND,COUNT_999
200309,FK03,FK50,-23.0709667,151.04115,37875.45557,37875.0389,20030911,2003,9,11,254,0.0389005,0.9333333,36.08,1.6685291,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.675015,0,0.0089094,-999,-999,-999,-999,-999,8
200309,FK03,FK60,-23.25635,150.84085,37876.53822,37876.12155,20030912,2003,9,12,255,0.1215509,2.9166667,36.63,0.1537157,-999,-999,0.059097,0.0194791,3.0338614,0.8251191,0.800082,-0.0163433,0.0424524,-999,-999,-999,-999,-999,-999,-999,0.37,0.11,0.52,19.49,5
200309,FK03,FK63,-23.4215667,150.8326833,37876.59377,37876.17711,20030912,2003,9,12,255,0.1771065,4.25,38.93,0.3832142,2,1.973175,0.053738,0.0184086,2.919172,0.6953279,0.7204632,-0.0171654,0.0733513,0.0403247,-0.0121405,0.02153,0.573856,1.243758,0.0173104,-999,0.4,0.18,0.41,21.55,0
200309,MD03,MD_11D,-16.40465,145.431717,37893.54861,37893.13194,20030929,2003,9,29,272,0.1319444,3.1666667,35.17,0.3075303,1.7,1.6784729,0.0877276,0.0286373,3.0634043,1.1166186,0.8264825,-0.0113103,0.0743752,0.0251166,-0.0123296,0.0090324,0.890501,0.3892941,0.0234,-999,0.2962837,0.2165232,0.4871931,16.3839963,0
200309,MD03,MD_12D,-16.43055,145.425417,37893.73958,37893.32292,20030929,2003,9,29,272,0.3229167,7.75,35.21,0.2583661,17.7,17.6819144,0.0813526,0.0225126,3.6136522,0.8108134,0.7736111,-0.0162427,0.0690359,0.0037276,-0.0126781,0.001344,0.976411,0.0517571,0.0254,-999,0.2357649,0.1448152,0.61942,13.1317395,0
200309,MD03,MD_13D,-16.2853,145.423667,37894.56389,37894.14722,20030930,2003,9,30,273,0.1472222,3.5333333,31.73,0.286941,2.5,2.4799141,0.0938178,0.0238538,3.933028,1.051874,0.8185456,-0.0135154,0.0781487,0.0237202,-0.0130234,0.0091848,0.949752,0.39352,0.0231,-999,0.1131398,0.1007818,0.7860784,6.946977,0
200309,MD03,MD_14D,-16.311383,145.45475,37894.625,37894.20833,20030930,2003,9,30,273,0.2083333,5,34.98,0.3236291,1.7,1.677346,-999,-999,-999,-999,-999,-0.0173417,0.0595953,-999,-999,0.0085735,0.932462,0.3896471,0.0227,-999,-999,-999,-999,-999,4
200309,MD03,MD_15D,-16.358783,145.47235,37894.44792,37894.03125,20030930,2003,9,30,273,0.03125,0.75,35.08,0.1453214,0.9,0.8898275,-999,-999,-999,-999,-999,-0.0143822,0.040406,0.0266463,-0.011517,0.0079922,0.839274,0.3643333,0.0247,-999,0.1438591,0.1711184,0.6850225,8.7335694,1
200309,MD03,MD_16D,-16.07015,145.4719,37895.37153,37894.95486,20030930,2003,9,30,273,0.9548611,22.9166667,34.97,0.5649696,2.3,2.2604521,0.0903103,0.0239484,3.7710438,0.5723609,0.6840051,-0.0179739,0.0608634,0.0314699,-0.0118411,0.010953,0.942971,0.486,0.0238,-999,0.1685419,0.1399847,0.6914734,9.8184912,0
200309,MD03,MD_17D,-16.0709,145.506283,37895.52986,37895.11319,20031001,2003,10,1,274,0.1131944,2.7166667,-999,0.6968423,1.6,1.551221,-999,-999,-999,-999,-999,-0.0187407,0.0503357,0.036244,-0.0114989,0.0128244,0.885714,0.520125,0.023,-999,0.2190455,0.1931076,0.5878469,12.5056588,1
